1 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 
1 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 
1 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 
1 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 
1 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 
1 9.4e-10 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 
7 1.2e-12 300 1 4 1 6 3 
0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 
7 2.5e-11 1 1 4 -0.5 6 3 
0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 
1 1.64e-10 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 
1 9.6e-11 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 
7 2.2e-11 1 2 4 -0.5 6 3 
0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 
1 3.0e-9 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 
7 1.14e-4 1 3 4 1 6 3 
0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 
7 1.6e-7 300 3 4 0.55 6 3 
0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 
