           1           1   0.0000000000000000        2.1860237276265211E+020
           1           1   2.0000000000000000        1.8133802989783663E+020
           1           1   4.0000000000000000        1.5231611223859452E+020
           1           1   6.0000000000000000        1.2766557679783946E+020
           1           1   8.0000000000000000        1.0677233311560701E+020
           1           1   10.000000000000000        8.9102099649935950E+019
           1           1   12.000000000000000        7.4190505162228646E+019
           1           1   14.000000000000000        6.1634727572598137E+019
           1           1   16.000000000000000        5.1086232196550509E+019
           1           1   18.000000000000000        4.2244292987274838E+019
           1           1   20.000000000000000        3.4850116859561300E+019
           1           1   22.000000000000000        2.8681516348429926E+019
           1           1   24.000000000000000        2.3548126729763926E+019
           1           1   26.000000000000000        1.9287154169934176E+019
           1           1   28.000000000000000        1.5759625140322494E+019
           1           1   30.000000000000000        1.2847101812770677E+019
           1           1   32.000000000000000        1.0448834682899038E+019
           1           1   34.000000000000000        8.4793185534896978E+018
           1           1   36.000000000000000        6.8661915447025275E+018
           1           1   38.000000000000000        5.5483887482248417E+018
           1           1   40.000000000000000        4.4745081848022098E+018
           1           1   42.000000000000000        3.6013854643983575E+018
           1           1   44.000000000000000        2.8929786712243830E+018
           1           1   46.000000000000000        2.3194397370174126E+018
           1           1   48.000000000000000        1.8561283654931697E+018
           1           1   50.000000000000000        1.4826744952804216E+018
           1           1   52.000000000000000        1.1822160301511785E+018
           1           1   54.000000000000000        9.4079720383555046E+017
           1           1   56.000000000000000        7.4687725435584397E+017
           1           1   58.000000000000000        5.9014479541441114E+017
           1           1   60.000000000000000        4.6244026572034566E+017
           1           1   62.000000000000000        3.5867847058680403E+017
           1           1   64.000000000000000        2.7173825905320029E+017
           1           1   66.000000000000000        2.0307155366973642E+017
           1           1   68.000000000000000        1.5119911816297747E+017
           1           1   70.000000000000000        1.1224923383601954E+017
           1           1   72.000000000000000        83159066143026800.     
           1           1   74.000000000000000        61527329317538768.     
           1           1   76.000000000000000        45493994864269504.     
           1           1   78.000000000000000        33636411906313596.     
           1           1   80.000000000000000        24878699215100980.     
           1           1   82.000000000000000        18414550873296228.     
           1           1   84.000000000000000        13643730618115290.     
           1           1   86.000000000000000        10121512741148022.     
           1           1   88.000000000000000        7519445209178010.0     
           1           1   90.000000000000000        5595499007569825.0     
           1           1   92.000000000000000        4171518176761288.0     
           1           1   94.000000000000000        3111116942203276.5     
           1           1   96.000000000000000        2319121463706182.0     
           1           1   98.000000000000000        1730277663102204.2     
           1           1   100.00000000000000        1293849548360731.2     
           1           1   102.00000000000000        970925587879514.25     
           1           1   104.00000000000000        732032501360386.75     
           1           1   106.00000000000000        555086753991895.00     
           1           1   108.00000000000000        423689910787859.38     
           1           1   110.00000000000000        325750714254682.12     
           1           1   112.00000000000000        252399439018991.75     
           1           1   114.00000000000000        197151003283333.44     
           1           1   116.00000000000000        155271404440938.12     
           1           1   118.00000000000000        123305041138004.25     
           1           1   120.00000000000000        98726094704960.266     
           1           1   122.00000000000000        79683637619282.141     
           1           1   124.00000000000000        64816430700027.484     
           1           1   126.00000000000000        53118904882235.766     
           1           1   128.00000000000000        43844395523410.133     
           1           1   130.00000000000000        36435314721798.422     
           1           1   132.00000000000000        30472721231485.066     
           1           1   134.00000000000000        25639826331171.586     
           1           1   136.00000000000000        21695505241981.895     
           1           1   138.00000000000000        18454997312096.922     
           1           1   140.00000000000000        15775781069794.703     
           1           1   142.00000000000000        13547184833746.002     
           1           1   144.00000000000000        11682703783933.715     
           1           1   146.00000000000000        10114286225969.137     
           1           1   148.00000000000000        8788059415872.5527     
           1           1   150.00000000000000        7661113152483.6836     
           1           1   152.00000000000000        6699064793896.4434     
           1           1   154.00000000000000        5874204773153.5127     
           1           1   156.00000000000000        5164075810910.1875     
           1           1   158.00000000000000        4550378015416.5566     
           1           1   160.00000000000000        4018120273816.5762     
           1           1   162.00000000000000        3554958849732.1558     
           1           1   164.00000000000000        3150679085490.7905     
           1           1   166.00000000000000        2796787108644.2920     
           1           1   168.00000000000000        2486186561908.8003     
           1           1   170.00000000000000        2212921399334.3574     
           1           1   172.00000000000000        1971970284076.4702     
           1           1   174.00000000000000        1759081491567.3271     
           1           1   176.00000000000000        1570639760680.8083     
           1           1   178.00000000000000        1403558459284.6455     
           1           1   180.00000000000000        1255191895556.0776     
           1           1   182.00000000000000        1123263728519.3035     
           1           1   184.00000000000000        1005808294846.4442     
           1           1   186.00000000000000        901122336911.85938     
           1           1   188.00000000000000        807725136616.30493     
           1           1   190.00000000000000        724325465427.19519     
           1           1   192.00000000000000        649794079826.74951     
           1           1   194.00000000000000        583140742762.18250     
           1           1   196.00000000000000        523494950717.87891     
           1           1   198.00000000000000        470067974673.41663     
           1           1   200.00000000000000        422172158520.07556     

           2           1   0.0000000000000000        2.1863092533603231E+020
           2           1   2.0000000000000000        1.8135922262324399E+020
           2           1   4.0000000000000000        1.5232923910889810E+020
           2           1   6.0000000000000000        1.2767205478300588E+020
           2           1   8.0000000000000000        1.0677484146051342E+020
           2           1   10.000000000000000        8.9103034786647884E+019
           2           1   12.000000000000000        7.4191232418573763E+019
           2           1   14.000000000000000        6.1635674933681758E+019
           2           1   16.000000000000000        5.1087327366923395E+019
           2           1   18.000000000000000        4.2245333301970117E+019
           2           1   20.000000000000000        3.4850946963161403E+019
           2           1   22.000000000000000        2.8682063925841916E+019
           2           1   24.000000000000000        2.3548380086772277E+019
           2           1   26.000000000000000        1.9287135079215895E+019
           2           1   28.000000000000000        1.5759374520003535E+019
           2           1   30.000000000000000        1.2846674821579655E+019
           2           1   32.000000000000000        1.0448296913149458E+019
