1 1 2 19 -1 48 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1 2 1 19 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1 5 1 48 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2 1 1 19 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2 2 8 16 -2 17 -1 18 -1 19 -1 26 -1 37 -1 38 -1 39 -1 0 0 0 0 0 0 
2 3 3 20 1 22 2 24 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2 5 3 10 1 40 1 37 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2 6 1 26 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2 7 3 5 1 22 2 18 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2 8 4 7 2 8 1 20 1 17 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2 9 2 12 1 38 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2 10 1 39 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
3 3 6 20 -1 21 -1 22 -1 23 -1 24 -1 25 -1 0 0 0 0 0 0 0 0 0 0 
3 4 1 31 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
3 5 1 11 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
3 6 1 23 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
3 7 3 6 1 21 -1 22 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
3 8 2 8 1 20 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
3 9 1 31 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
3 10 1 15 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
4 1 1 48 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
4 2 2 26 1 37 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
4 3 1 23 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
4 4 9 28 -2 29 -1 30 -1 31 -1 32 -1 33 -1 34 -1 35 -1 36 -1 0 0 0 0 
4 5 6 10 1 11 1 27 1 37 1 48 1 29 -1 0 0 0 0 0 0 0 0 0 0 
4 6 5 9 2 23 1 26 1 27 1 49 2 0 0 0 0 0 0 0 0 0 0 0 0 
4 7 1 36 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
4 8 1 35 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
4 9 3 30 -1 31 -1 32 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
