2 19 1 48 1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 
8 16 2 17 1 18 1 19 1 26 1 37 1 38 1 39 1 -1 -1 -1 -1 -1 -1 
6 20 1 21 1 22 1 23 1 24 1 25 1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 
9 28 2 29 1 30 1 31 1 32 1 33 1 34 1 35 1 36 1 -1 -1 -1 -1 
11 10 1 11 1 27 1 29 1 37 1 40 2 41 2 42 1 43 1 44 1 48 1 
5 9 1 23 1 26 1 27 1 49 1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 
8 5 1 6 1 18 1 21 1 22 1 36 1 42 1 45 1 -1 -1 -1 -1 -1 -1 
5 7 1 8 1 17 1 20 1 35 1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 
9 12 1 30 1 31 1 32 1 38 1 43 1 45 1 46 2 47 2 -1 -1 -1 -1 
7 13 1 14 1 15 1 33 1 34 1 39 1 44 1 -1 -1 -1 -1 -1 -1 -1 -1 
