Mars solar minimum

Z: altitude (km)
TN,TI,TE: temperature (K)
SZA=44 deg
----------------------------------

  Z      TN        TI        TE   
 620 1.980E+02 4.450E+03 3.660E+03
 624 1.980E+02 4.450E+03 3.660E+03
 628 1.980E+02 4.450E+03 3.660E+03
 632 1.980E+02 4.450E+03 3.660E+03
 636 1.980E+02 4.450E+03 3.660E+03
 640 1.980E+02 4.450E+03 3.660E+03
 644 1.980E+02 4.450E+03 3.660E+03
 648 1.980E+02 4.450E+03 3.660E+03
 652 1.980E+02 4.450E+03 3.660E+03
 656 1.980E+02 4.450E+03 3.660E+03
 660 1.980E+02 4.450E+03 3.660E+03
 664 1.980E+02 4.450E+03 3.660E+03
 668 1.980E+02 4.450E+03 3.660E+03
 672 1.980E+02 4.450E+03 3.660E+03
 676 1.980E+02 4.450E+03 3.660E+03
 680 1.980E+02 4.450E+03 3.660E+03
 684 1.980E+02 4.450E+03 3.660E+03
 688 1.980E+02 4.450E+03 3.660E+03
 692 1.980E+02 4.450E+03 3.660E+03
 696 1.980E+02 4.450E+03 3.660E+03
 700 1.980E+02 4.450E+03 3.660E+03
 704 1.980E+02 4.450E+03 3.660E+03
 708 1.980E+02 4.450E+03 3.660E+03
 712 1.980E+02 4.450E+03 3.660E+03
 716 1.980E+02 4.450E+03 3.660E+03
 720 1.980E+02 4.450E+03 3.660E+03
 724 1.980E+02 4.450E+03 3.660E+03
 728 1.980E+02 4.450E+03 3.660E+03
 732 1.980E+02 4.450E+03 3.660E+03
 736 1.980E+02 4.450E+03 3.660E+03
 740 1.980E+02 4.450E+03 3.660E+03
 744 1.980E+02 4.450E+03 3.660E+03
 748 1.980E+02 4.450E+03 3.660E+03
 752 1.980E+02 4.450E+03 3.660E+03
 756 1.980E+02 4.450E+03 3.660E+03
 760 1.980E+02 4.450E+03 3.660E+03
 764 1.980E+02 4.450E+03 3.660E+03
 768 1.980E+02 4.450E+03 3.660E+03
 772 1.980E+02 4.450E+03 3.660E+03
 776 1.980E+02 4.450E+03 3.660E+03
 780 1.980E+02 4.450E+03 3.660E+03
 784 1.980E+02 4.450E+03 3.660E+03
 788 1.980E+02 4.450E+03 3.660E+03
 792 1.980E+02 4.450E+03 3.660E+03
 796 1.980E+02 4.450E+03 3.660E+03
 800 1.980E+02 4.450E+03 3.660E+03
 804 1.980E+02 4.450E+03 3.660E+03
