Mars solar minimum

Z: altitude (km)
CO2,N2,O,H,hotO: number density (cm-3)
SZA=44 deg
------------------------------------------------------

  Z     CO2        N2         O         H      hotO   
 428 1.666E-01 8.400E+01 3.821E+04 6.566E+04 4.363E+03
 432 1.218E-01 6.882E+01 3.410E+04 6.519E+04 4.255E+03
 436 8.911E-02 5.641E+01 3.044E+04 6.473E+04 4.150E+03
 440 6.523E-02 4.625E+01 2.717E+04 6.427E+04 4.047E+03
 444 4.778E-02 3.794E+01 2.426E+04 6.382E+04 3.947E+03
 448 3.502E-02 3.113E+01 2.167E+04 6.337E+04 3.849E+03
 452 2.569E-02 2.556E+01 1.936E+04 6.293E+04 3.754E+03
 456 1.885E-02 2.099E+01 1.730E+04 6.249E+04 3.661E+03
 460 1.385E-02 1.725E+01 1.547E+04 6.205E+04 3.571E+03
 464 1.017E-02 1.418E+01 1.383E+04 6.162E+04 3.482E+03
 468 7.482E-03 1.166E+01 1.236E+04 6.119E+04 3.396E+03
 472 5.505E-03 9.591E+00 1.106E+04 6.076E+04 3.312E+03
 476 4.053E-03 7.894E+00 9.894E+03 6.034E+04 3.230E+03
 480 2.986E-03 6.499E+00 8.853E+03 5.992E+04 3.150E+03
 484 2.200E-03 5.351E+00 7.922E+03 5.950E+04 3.077E+03
 488 1.621E-03 4.405E+00 7.088E+03 5.908E+04 3.005E+03
 492 1.194E-03 3.627E+00 6.342E+03 5.866E+04 2.935E+03
 496 8.797E-04 2.986E+00 5.675E+03 5.824E+04 2.867E+03
 500 6.481E-04 2.458E+00 5.078E+03 5.783E+04 2.800E+03
 504 4.775E-04 2.024E+00 4.544E+03 5.758E+04 2.761E+03
 508 3.518E-04 1.666E+00 4.066E+03 5.733E+04 2.723E+03
 512 2.592E-04 1.372E+00 3.638E+03 5.708E+04 2.686E+03
 516 1.909E-04 1.129E+00 3.255E+03 5.683E+04 2.649E+03
 520 1.407E-04 9.297E-01 2.913E+03 5.659E+04 2.612E+03
 524 1.036E-04 7.654E-01 2.606E+03 5.634E+04 2.577E+03
 528 7.636E-05 6.301E-01 2.332E+03 5.610E+04 2.541E+03
 532 5.626E-05 5.188E-01 2.087E+03 5.585E+04 2.506E+03
 536 4.145E-05 4.271E-01 1.867E+03 5.561E+04 2.472E+03
 540 3.053E-05 3.516E-01 1.671E+03 5.537E+04 2.438E+03
 544 2.250E-05 2.895E-01 1.495E+03 5.513E+04 2.404E+03
 548 1.657E-05 2.383E-01 1.338E+03 5.489E+04 2.371E+03
 552 1.221E-05 1.962E-01 1.197E+03 5.465E+04 2.338E+03
 556 8.996E-06 1.615E-01 1.071E+03 5.441E+04 2.306E+03
 560 6.628E-06 1.330E-01 9.582E+02 5.418E+04 2.274E+03
 564 4.883E-06 1.095E-01 8.574E+02 5.394E+04 2.243E+03
 568 3.597E-06 9.014E-02 7.672E+02 5.371E+04 2.212E+03
 572 2.650E-06 7.421E-02 6.865E+02 5.347E+04 2.182E+03
 576 1.953E-06 6.110E-02 6.142E+02 5.324E+04 2.152E+03
 580 1.439E-06 5.030E-02 5.496E+02 5.301E+04 2.122E+03
 584 1.060E-06 4.141E-02 4.918E+02 5.278E+04 2.093E+03
 588 7.808E-07 3.409E-02 4.400E+02 5.255E+04 2.064E+03
 592 5.753E-07 2.807E-02 3.937E+02 5.232E+04 2.036E+03
 596 4.238E-07 2.311E-02 3.523E+02 5.210E+04 2.008E+03
 600 3.122E-07 1.903E-02 3.152E+02 5.187E+04 1.980E+03
 604 2.300E-07 1.566E-02 2.821E+02 5.164E+04 1.953E+03
