Mars solar minimum

Z: altitude (km)
CO2,N2,O,H,hotO: number density (cm-3)
SZA=44 deg
------------------------------------------------------

  Z     CO2        N2         O         H      hotO   
1528 5.142E-38 4.862E-22 1.983E-09 2.406E+04 4.122E+02
1532 3.788E-38 4.003E-22 1.774E-09 2.398E+04 4.111E+02
1536 2.791E-38 3.295E-22 1.588E-09 2.391E+04 4.099E+02
1540 2.056E-38 2.713E-22 1.421E-09 2.384E+04 4.088E+02
1544 1.515E-38 2.234E-22 1.271E-09 2.377E+04 4.077E+02
1548 1.116E-38 1.839E-22 1.137E-09 2.370E+04 4.067E+02
1552 8.223E-39 1.514E-22 1.018E-09 2.362E+04 4.056E+02
1556 6.058E-39 1.246E-22 9.107E-10 2.355E+04 4.045E+02
1560 4.463E-39 1.026E-22 8.149E-10 2.348E+04 4.034E+02
1564 3.288E-39 8.448E-23 7.292E-10 2.341E+04 4.023E+02
1568 2.423E-39 6.955E-23 6.524E-10 2.334E+04 4.012E+02
1572 1.785E-39 5.726E-23 5.838E-10 2.327E+04 4.001E+02
1576 1.315E-39 4.714E-23 5.224E-10 2.320E+04 3.991E+02
1580 9.688E-40 3.881E-23 4.674E-10 2.313E+04 3.980E+02
1584 7.137E-40 3.195E-23 4.182E-10 2.306E+04 3.969E+02
1588 5.258E-40 2.630E-23 3.742E-10 2.299E+04 3.959E+02
1592 3.874E-40 2.166E-23 3.348E-10 2.292E+04 3.948E+02
1596 2.854E-40 1.783E-23 2.996E-10 2.285E+04 3.937E+02
1600 2.103E-40 1.468E-23 2.681E-10 2.279E+04 3.927E+02
1604 1.549E-40 1.208E-23 2.399E-10 2.272E+04 3.916E+02
1608 1.141E-40 9.949E-24 2.146E-10 2.265E+04 3.906E+02
1612 8.409E-41 8.191E-24 1.921E-10 2.258E+04 3.895E+02
1616 6.195E-41 6.743E-24 1.719E-10 2.251E+04 3.885E+02
1620 4.564E-41 5.552E-24 1.538E-10 2.245E+04 3.874E+02
1624 3.363E-41 4.571E-24 1.376E-10 2.238E+04 3.864E+02
1628 2.477E-41 3.763E-24 1.231E-10 2.231E+04 3.853E+02
1632 1.825E-41 3.098E-24 1.102E-10 2.224E+04 3.843E+02
1636 1.345E-41 2.551E-24 9.857E-11 2.218E+04 3.833E+02
1640 9.906E-42 2.100E-24 8.820E-11 2.211E+04 3.822E+02
1644 7.298E-42 1.729E-24 7.892E-11 2.204E+04 3.812E+02
1648 5.377E-42 1.423E-24 7.062E-11 2.198E+04 3.802E+02
1652 3.961E-42 1.172E-24 6.319E-11 2.191E+04 3.792E+02
1656 2.919E-42 9.647E-25 5.654E-11 2.184E+04 3.781E+02
1660 2.150E-42 7.942E-25 5.059E-11 2.178E+04 3.771E+02
1664 1.584E-42 6.538E-25 4.527E-11 2.171E+04 3.761E+02
1668 1.167E-42 5.383E-25 4.050E-11 2.165E+04 3.751E+02
1672 8.599E-43 4.432E-25 3.624E-11 2.158E+04 3.741E+02
1676 6.335E-43 3.649E-25 3.243E-11 2.152E+04 3.731E+02
1680 4.667E-43 3.004E-25 2.902E-11 2.145E+04 3.721E+02
1684 3.438E-43 2.473E-25 2.596E-11 2.139E+04 3.711E+02
1688 2.533E-43 2.036E-25 2.323E-11 2.132E+04 3.701E+02
1692 1.866E-43 1.676E-25 2.079E-11 2.126E+04 3.691E+02
1696 1.375E-43 1.380E-25 1.860E-11 2.120E+04 3.681E+02
1700 1.013E-43 1.136E-25 1.664E-11 2.113E+04 3.671E+02
1704 7.463E-44 9.353E-26 1.489E-11 2.107E+04 3.661E+02
1708 5.498E-44 7.700E-26 1.333E-11 2.101E+04 3.651E+02
1712 4.051E-44 6.340E-26 1.192E-11 2.094E+04 3.642E+02
1716 2.984E-44 5.219E-26 1.067E-11 2.088E+04 3.632E+02
1720 2.199E-44 4.297E-26 9.546E-12 2.082E+04 3.622E+02
1724 1.620E-44 3.538E-26 8.542E-12 2.075E+04 3.612E+02
1728 1.193E-44 2.912E-26 7.643E-12 2.069E+04 3.603E+02
1732 8.793E-45 2.398E-26 6.839E-12 2.063E+04 3.593E+02
1736 6.478E-45 1.974E-26 6.120E-12 2.057E+04 3.583E+02
1740 4.773E-45 1.625E-26 5.476E-12 2.051E+04 3.574E+02
1744 3.516E-45 1.338E-26 4.900E-12 2.044E+04 3.564E+02
1748 2.590E-45 1.102E-26 4.384E-12 2.038E+04 3.554E+02
1752 1.908E-45 9.069E-27 3.923E-12 2.032E+04 3.545E+02
1756 1.406E-45 7.466E-27 3.510E-12 2.026E+04 3.535E+02
1760 1.036E-45 6.147E-27 3.141E-12 2.020E+04 3.526E+02
1764 7.632E-46 5.061E-27 2.810E-12 2.014E+04 3.516E+02
1768 5.623E-46 4.166E-27 2.515E-12 2.008E+04 3.507E+02
1772 4.142E-46 3.430E-27 2.250E-12 2.002E+04 3.497E+02
1776 3.052E-46 2.824E-27 2.013E-12 1.996E+04 3.488E+02
1780 2.248E-46 2.325E-27 1.801E-12 1.990E+04 3.479E+02
1784 1.657E-46 1.914E-27 1.612E-12 1.984E+04 3.469E+02
1788 1.220E-46 1.576E-27 1.442E-12 1.978E+04 3.460E+02
1792 8.991E-47 1.297E-27 1.291E-12 1.972E+04 3.451E+02
1796 6.624E-47 1.068E-27 1.155E-12 1.966E+04 3.441E+02
1800 4.880E-47 8.793E-28 1.033E-12 1.960E+04 3.432E+02
1804 3.595E-47 7.239E-28 9.246E-13 1.954E+04 3.423E+02
1808 2.649E-47 5.960E-28 8.273E-13 1.948E+04 3.414E+02
1812 1.952E-47 4.907E-28 7.402E-13 1.942E+04 3.405E+02
1816 1.438E-47 4.040E-28 6.624E-13 1.937E+04 3.395E+02
1820 1.059E-47 3.326E-28 5.927E-13 1.931E+04 3.386E+02
1824 7.804E-48 2.738E-28 5.303E-13 1.925E+04 3.377E+02
1828 5.750E-48 2.254E-28 4.745E-13 1.919E+04 3.368E+02
1832 4.236E-48 1.856E-28 4.246E-13 1.913E+04 3.359E+02
1836 3.121E-48 1.528E-28 3.799E-13 1.908E+04 3.350E+02
1840 2.299E-48 1.258E-28 3.399E-13 1.902E+04 3.341E+02
1844 1.694E-48 1.036E-28 3.042E-13 1.896E+04 3.332E+02
1848 1.248E-48 8.526E-29 2.722E-13 1.890E+04 3.323E+02
1852 9.194E-49 7.019E-29 2.435E-13 1.885E+04 3.314E+02
1856 6.774E-49 5.779E-29 2.179E-13 1.879E+04 3.305E+02
1860 4.990E-49 4.758E-29 1.950E-13 1.873E+04 3.296E+02
1864 3.677E-49 3.917E-29 1.745E-13 1.868E+04 3.288E+02
1868 2.709E-49 3.225E-29 1.561E-13 1.862E+04 3.279E+02
1872 1.996E-49 2.655E-29 1.397E-13 1.857E+04 3.270E+02
1876 1.470E-49 2.186E-29 1.250E-13 1.851E+04 3.261E+02
1880 1.083E-49 1.799E-29 1.118E-13 1.845E+04 3.252E+02
1884 7.980E-50 1.481E-29 1.001E-13 1.840E+04 3.244E+02
1888 5.879E-50 1.220E-29 8.954E-14 1.834E+04 3.235E+02
1892 4.332E-50 1.004E-29 8.012E-14 1.829E+04 3.226E+02
1896 3.191E-50 8.267E-30 7.169E-14 1.823E+04 3.217E+02
1900 2.351E-50 6.806E-30 6.415E-14 1.818E+04 3.209E+02
1904 1.732E-50 5.603E-30 5.740E-14 1.812E+04 3.200E+02
1908 1.276E-50 4.613E-30 5.136E-14 1.807E+04 3.192E+02
1912 9.402E-51 3.798E-30 4.596E-14 1.801E+04 3.183E+02
1916 6.927E-51 3.127E-30 4.112E-14 1.796E+04 3.174E+02
1920 5.103E-51 2.574E-30 3.679E-14 1.791E+04 3.166E+02
1924 3.760E-51 2.119E-30 3.292E-14 1.785E+04 3.157E+02
1928 2.770E-51 1.745E-30 2.946E-14 1.780E+04 3.149E+02
1932 2.041E-51 1.436E-30 2.636E-14 1.775E+04 3.140E+02
1936 1.503E-51 1.183E-30 2.359E-14 1.769E+04 3.132E+02
1940 1.108E-51 9.736E-31 2.110E-14 1.764E+04 3.124E+02
1944 8.161E-52 8.016E-31 1.888E-14 1.759E+04 3.115E+02
1948 6.012E-52 6.599E-31 1.690E-14 1.753E+04 3.107E+02
1952 4.429E-52 5.433E-31 1.512E-14 1.748E+04 3.098E+02
1956 3.263E-52 4.473E-31 1.353E-14 1.743E+04 3.090E+02
1960 2.404E-52 3.682E-31 1.210E-14 1.738E+04 3.082E+02
1964 1.771E-52 3.032E-31 1.083E-14 1.732E+04 3.074E+02
1968 1.305E-52 2.496E-31 9.692E-15 1.727E+04 3.065E+02
1972 9.614E-53 2.055E-31 8.672E-15 1.722E+04 3.057E+02
1976 7.083E-53 1.692E-31 7.759E-15 1.717E+04 3.049E+02
1980 5.218E-53 1.393E-31 6.943E-15 1.712E+04 3.041E+02
1984 3.845E-53 1.147E-31 6.213E-15 1.706E+04 3.032E+02
1988 2.832E-53 9.440E-32 5.559E-15 1.701E+04 3.024E+02
1992 2.087E-53 7.772E-32 4.974E-15 1.696E+04 3.016E+02
1996 1.537E-53 6.398E-32 4.451E-15 1.691E+04 3.008E+02
2000 1.133E-53 5.268E-32 3.982E-15 1.686E+04 3.000E+02
