6 1 1 2 1 18 1 25 1 29 1 30 1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 
3 20 1 49 1 52 1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 
9 16 2 17 1 18 1 19 1 20 1 27 1 38 1 39 1 40 1 -1 -1 -1 -1 -1 -1 
6 21 1 22 1 23 1 24 1 25 1 26 1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 
9 29 2 30 1 31 1 32 1 33 1 34 1 35 1 36 1 37 1 -1 -1 -1 -1 -1 -1 
12 10 1 11 1 28 1 30 1 38 1 41 2 42 2 43 1 44 1 45 1 49 1 52 1 
5 9 1 24 1 27 1 28 1 51 1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 
8 5 1 6 1 19 1 22 1 23 1 37 1 43 1 46 1 -1 -1 -1 -1 -1 -1 -1 -1 
7 7 1 8 1 17 1 18 1 21 1 36 1 50 1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 
9 12 1 31 1 32 1 33 1 39 1 44 1 46 1 47 2 48 2 -1 -1 -1 -1 -1 -1 
7 13 1 14 1 15 1 34 1 35 1 40 1 45 1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 
1 17 1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 
1 50 1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 
